muestra,intervalo_id,alpha,beta,p,brechas,racha_final_incompleta,media_w,max_w,maximo_soporte_evaluacion,dmax,mae
logistico,i1,0.1,0.3,0.2,196,5,5.076530612244898,23,43,0.12020408163265295,0.012293947627535213
logistico,i2,0.4,0.6,0.2,196,1,5.096938775510204,15,26,0.3599999999999999,0.06601898457487351
logistico,i3,0.7,0.9,0.2,197,0,5.0761421319796955,20,35,0.20000000000000007,0.01685183137058252
tienda,i1,0.1,0.3,0.2,209,4,4.76555023923445,26,43,0.11598086124401902,0.011501226621016014
tienda,i2,0.4,0.6,0.2,211,1,4.734597156398104,12,26,0.3505213270142179,0.06942288853820876
tienda,i3,0.7,0.9,0.2,211,0,4.739336492890995,29,35,0.19526066350710908,0.01965770808112338
r30_columnas,i1,0.1,0.3,0.2,189,2,5.28042328042328,20,43,0.07957671957671947,0.011801047668862679
r30_columnas,i2,0.4,0.6,0.2,199,10,4.974874371859296,20,26,0.05628140703517592,0.015062664758658008
r30_columnas,i3,0.7,0.9,0.2,201,4,4.955223880597015,21,35,0.106268656716418,0.017851215188851913
r30_filas,i1,0.1,0.3,0.2,221,3,4.51131221719457,15,43,0.11402714932126692,0.021089828272916823
r30_filas,i2,0.4,0.6,0.2,182,2,5.483516483516484,26,26,0.12857142857142853,0.02021243950533586
r30_filas,i3,0.7,0.9,0.2,206,1,4.849514563106796,22,35,0.10291262135922337,0.014061823285677061
congruencial_minstd,i1,0.1,0.3,0.2,202,0,4.9504950495049505,43,43,0.056554455445544716,0.0073920757121687585
congruencial_minstd,i2,0.4,0.6,0.2,178,18,5.51685393258427,24,26,0.07681438202247182,0.022456816924088845
congruencial_minstd,i3,0.7,0.9,0.2,179,3,5.569832402234637,35,35,0.07643351955307276,0.017187156571563708
