experimento,iteracion,n,maxima_discrepancia_cdf,mae_cdf,fingerprint_sha256
logistico_r4,0,1000,0.2487520933972694,0.16144599564678322,1e0af89f00e6778ea7ebe62eed5fd8826a1045b57f48f7e25cb23a3aa629701e
logistico_r4,1,1000,0.4755041867945389,0.3515084915084915,94b4946a2b59ce089d353d306e296dc40737c3b599465a817012efa3667a0351
logistico_r4,2,1000,0.16006327654452945,0.12236063936063933,97860393a1676a928452e2e06b8a7705739b92520fedaa60b8f061f59a590cba
logistico_r4,3,1000,0.035859682560169415,0.012267108351825031,b841b4bba59b7db2488ea8e4003471c7fc96f7a192e6ef53312daa9da52b3e5c
logistico_r4,4,1000,0.03670979991508874,0.01667289104090788,756106fc452bfcc8a803826cf1872853ea3216276d3f1d94f51cf5433ba68026
tienda_ideal_2,0,1000,0.10175575983995906,0.05731868131868131,2765582e56a8c4380489f527246f1e882271b67969c08a371188011ee50c266e
tienda_ideal_2,1,1000,0.19417810197645258,0.11379020979020979,94de12076da8d45cc2e2a8d8e70305ba78001eb2d9ca36a4da677e73d602b3b3
tienda_ideal_2,2,1000,0.08455679131497185,0.04987112887112888,7d5cdf5378e10bf01906fda6eec10ae33c430da636a445025d25223e856422be
tienda_ideal_2,3,1000,0.03571240790581026,0.008613386613386616,ba9f0dbd2b7151ee441ae5d7e7c8678265fe8b04af1f530f5d09edce57c5ca94
tienda_ideal_2,4,1000,0.03925515952230352,0.013674325674325666,c8a8234ee8dcbe417a65874589c91d23e0f9db9ee1bf51a3de04365fcda6934d
tienda_diagnostico_1_999,0,1000,0.10175575983995906,0.05731868131868131,2765582e56a8c4380489f527246f1e882271b67969c08a371188011ee50c266e
tienda_diagnostico_1_999,1,1000,0.19396301292546436,0.1134965034965035,7438903593a124ca2f53cd75d99ec374436aec31bcc74de18befc7fde4177d25
tienda_diagnostico_1_999,2,1000,0.084492198314154,0.049968031968031984,05eb82c47911f23b2f529773cb88216e06f89f0a88857e86534e092258be7cb7
tienda_diagnostico_1_999,3,1000,0.03499610560891725,0.008467532467532471,b6150411d04f49ff56512dd3288edfe624d138ba67bb9b92deff7a4861b7c7a7
tienda_diagnostico_1_999,4,1000,0.03827121511222553,0.013512487512487506,f550bf726fd268c217f5b4180777caf3d16c4aa625e75d79249693d41e33e202
