muestra,intervalo_id,alpha,beta,p,brechas_original,brechas_reordenada,racha_final_incompleta_original,racha_final_incompleta_reordenada,media_w_original,media_w_reordenada,max_w_original,max_w_reordenada,maximo_soporte_evaluacion,dmax_original,dmax_reordenada,mae_original,mae_reordenada
logistico,i1,0.1,0.3,0.2,196,196,5,3,5.076530612244898,5.086734693877551,23,26,43,0.12020408163265295,0.03469387755102046,0.012293947627535213,0.0074800046953511865
logistico,i2,0.4,0.6,0.2,196,196,1,1,5.096938775510204,5.096938775510204,15,24,26,0.3599999999999999,0.04651355428571424,0.06601898457487351,0.013721113715138481
logistico,i3,0.7,0.9,0.2,197,197,0,12,5.0761421319796955,5.0152284263959395,20,32,35,0.20000000000000007,0.033939622335025454,0.01685183137058252,0.0073050072913087025
tienda,i1,0.1,0.3,0.2,209,209,4,0,4.76555023923445,4.784688995215311,26,21,43,0.11598086124401902,0.0440191387559809,0.011501226621016014,0.007956706263297074
tienda,i2,0.4,0.6,0.2,211,211,1,12,4.734597156398104,4.682464454976303,12,25,26,0.3505213270142179,0.03939518483412341,0.06942288853820876,0.014274941280503526
tienda,i3,0.7,0.9,0.2,211,211,0,3,4.739336492890995,4.725118483412322,29,22,35,0.19526066350710908,0.029762455632366902,0.01965770808112338,0.009475644268908606
r30_columnas,i1,0.1,0.3,0.2,189,189,2,8,5.28042328042328,5.248677248677248,20,30,43,0.07957671957671947,0.04355555555555546,0.011801047668862679,0.006883119322614192
r30_columnas,i2,0.4,0.6,0.2,199,199,10,1,4.974874371859296,5.0201005025125625,20,25,26,0.05628140703517592,0.04466331658291467,0.015062664758658008,0.015805758998781474
r30_columnas,i3,0.7,0.9,0.2,201,201,4,0,4.955223880597015,4.975124378109452,21,27,35,0.106268656716418,0.03936318407960193,0.017851215188851913,0.006999749269120695
r30_filas,i1,0.1,0.3,0.2,221,221,3,0,4.51131221719457,4.524886877828054,15,27,43,0.11402714932126692,0.060393933031674285,0.021089828272916823,0.011783265120389989
r30_filas,i2,0.4,0.6,0.2,182,182,2,11,5.483516483516484,5.434065934065934,26,26,26,0.12857142857142853,0.09076923076923066,0.02021243950533586,0.021927560992464307
r30_filas,i3,0.7,0.9,0.2,206,206,1,7,4.849514563106796,4.820388349514563,22,25,35,0.10291262135922337,0.08481553398058239,0.014061823285677061,0.013080388129753982
